Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,score
Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Giraldo S.,Mayer F.,28,57,1215,778,1.36,3.0,6-4 6-4   
Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Nieminen J.,Nieminen J.,35,41,1075,927,2.2,1.61,3-6 6-2 1-6  
Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Matosevic M.,Nishikori K.,19,49,1830,845,1.25,3.75,7-5 6-2   
Brisbane International,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Mitchell B.,Baghdatis M.,Baghdatis M.,326,36,137,1070,9.0,1.07,4-6 4-6   
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Klizan M.,Istomin D.,43,30,897,1175,1.9,1.8,6-1 6-2   
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Ito T.,Millman J.,Millman J.,79,199,655,239,2.2,1.61,4-6 1-6   
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Levine J.,Falla A.,54,104,809,530,2.2,1.61,6-1 7-6   
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Melzer J.,Melzer J.,137,29,402,1177,2.62,1.44,6-2 4-6 4-6  
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Robredo T.,Harrison R.,Robredo T.,114,69,495,710,3.0,1.36,6-4 7-6   
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Baker B.,Dimitrov G.,Dimitrov G.,61,48,756,866,3.0,1.36,3-6 6-7   
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Goffin D.,Ebden M.,Goffin D.,46,105,868,529,1.57,2.25,6-2 6-2   
Brisbane International,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Kunitsyn I.,Hewitt L.,Hewitt L.,162,83,339,625,4.33,1.2,3-6 6-4 2-6  
Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Simon G.,Falla A.,Simon G.,16,54,2165,809,1.22,4.0,7-6 7-6   
Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Mayer F.,Baghdatis M.,Baghdatis M.,28,36,1215,1070,2.62,1.44,4-6 2-6   
Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Robredo T.,Nishikori K.,19,114,1830,495,1.22,4.0,6-3 6-3   
Brisbane International,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Nieminen J.,Dolgopolov O.,Dolgopolov O.,41,18,927,1855,2.62,1.44,2-6 1-4   
Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Raonic M.,Dimitrov G.,48,13,866,2380,2.75,1.4,6-3 6-4   
Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Goffin D.,Melzer J.,Melzer J.,46,29,868,1177,1.57,2.25,4-6 6-7   
Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Hewitt L.,Istomin D.,43,83,897,625,1.83,1.83,7-5 7-5   
